question,option1,option2,option3,option4,answer,category
What does CPU stand for?,Central Processing Unit,Computer Personal Unit,Central Process Utility,Core Program Unit,Central Processing Unit,Tech
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,Mars,Science
What is the capital of Kenya?,Mombasa,Kisumu,Nairobi,Nakuru,Nairobi,Geography
"In Python, what data type is True/False?",int,bool,str,float,bool,Tech
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide,Science
Who wrote the play Romeo and Juliet?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,William Shakespeare,Literature
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,Pacific,Geography
Which data structure in Python uses curly braces and key-value pairs?,list,tuple,dict,set,dict,Tech
How many continents are there on Earth?,5,6,7,8,7,Geography
What is the chemical symbol for gold?,Ag,Au,Gd,Go,Au,Science
Which country is home to the Great Barrier Reef?,Brazil,Australia,Kenya,Canada,Australia,Geography
What is the powerhouse of the cell called?,Nucleus,Ribosome,Mitochondria,Cytoplasm,Mitochondria,Science
In Python, which keyword is used to define a function?,func,def,function,define,def,Tech
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Leonardo da Vinci,Literature
What is the smallest prime number?,0,1,2,3,2,Science
